component_name,cultivar_name,harvest_yield,humidity_rh,temperature_c,vapor_pressure_deficit,co2_ppm,fan_intensity,light_intensity,light_on_minutes,irrigation_minutes,grow_room
Red Oakleaf,3SX3806,16.921,64.6405641025641,20.8994102564102,0.874014938907545,1127.93939393939,149.0,241.5,20.0,29.75,Grow_5
Red Oakleaf,3SX3806,17.51,63.106923076923,21.4257692307692,0.941808298730282,1127.93939393939,149.0,241.5,20.0,29.75,Grow_5
Curly Iceberg,Cristabel,27.866,60.9661538461538,21.7184615384615,1.01441255574389,1173.0,149.0,228.0,35.0,29.75,Grow_5
Basil,Keira,7.734,68.0080975274725,21.8823832417582,0.839984110509256,1135.95265151515,149.0,248.25,20.0,31.0,Grow_2
Basil,Keira,11.506,69.4696474358974,23.2879807692307,0.883156601162745,1075.17628205128,149.0,248.25,26.25,39.75,Grow_2
Basil,Keira,22.537,65.4727564102564,23.0679166666666,0.974271360931246,1021.38446969696,149.0,248.25,20.0,29.75,Grow_3
Basil,Keira,8.074,65.0546318681318,22.6595347985348,0.96246400204902,1039.53333333333,149.0,249.6,33.4,43.8,Grow_1
Basil,Keira,8.592,70.1977692307692,23.0845,0.842027412408253,1074.25,149.0,255.0,31.4,41.6,Grow_1
Basil,Keira,9.04,63.8058974358974,22.9901025641025,1.01800285347148,1124.94358974358,149.0,249.6,37.6,49.4,Grow_2
Basil,Keira,9.999,65.475641025641,23.2274358974358,0.984298171420204,1139.55,149.0,249.6,28.4,39.0,Grow_1
Basil,Keira,11.723,62.1214871794871,24.5139102564102,1.17067665324964,1139.55,149.0,249.6,26.6,39.0,Grow_1
Basil,Keira,8.963,66.7036431623931,22.9321901709401,0.934178764774315,1044.83216783216,149.0,255.0,40.333333,49.666667,Grow_2
Basil,Keira,9.504,61.886891025641,22.7376282051282,1.0580446104417,1076.64267676767,149.0,250.5,39.333333,47.0,Grow_1
Basil,Keira,1.253,61.6744017094017,23.9859401709401,1.14263924633221,1048.22727272727,149.0,255.0,33.666667,29.75,Grow_1
Basil,Keira,1.272,66.7611111111111,23.0977777777777,0.939362779916483,1109.08333333333,149.0,255.0,20.0,29.75,Grow_5
Basil,Keira,1.65,63.454188034188,22.2857905982906,0.983416930646449,1150.88888888888,149.0,255.0,21.0,40.0,Grow_2
Chard,Jupiter,1.745,66.2576018099547,23.7060633484162,0.989242291208933,1088.15357191827,149.0,228.0,55.529412,59.176471,Grow_4
Basil,Keira,2.083,68.1276923076923,22.6961538461538,0.879107859169664,1082.33333333333,149.0,255.0,20.0,29.75,Grow_1
Chard,Charbell,2.153,62.0527838827838,24.3245054945054,1.15456650673287,1152.82142857142,149.0,228.0,58.714286,58.571429,Grow_2
Basil,Keira,2.24,66.4612969924812,23.6043421052631,0.977545545876719,1133.25,149.0,255.0,36.5,38.0,Grow_2
Basil,Keira,2.408,60.0527136752136,23.4593803418803,1.15541014325573,1123.42171717171,149.0,255.0,20.0,37.666667,Grow_1
Basil,Keira,2.479,63.7522435897435,22.5352243589743,0.996254712953203,1087.625,149.0,255.0,30.5,60.0,Grow_1
Basil,Keira,2.539,60.4154166666666,22.8841666666666,1.10425784772114,1127.70833333333,149.0,255.0,35.0,60.0,Grow_1
Basil,Keira,2.561,64.5020299145299,22.3927564102564,0.961838306523831,1072.02777777777,149.0,255.0,20.0,29.75,Grow_1
Basil,Keira,2.572,61.3825,24.3783333333333,1.17874217394805,1079.83333333333,149.0,255.0,35.0,60.0,Grow_1
Chard,Jupiter,2.596,54.0712616550116,24.1445993589743,1.38295165491332,1041.72552447552,149.0,228.0,52.545455,56.818182,Grow_2
Basil,Keira,2.829,63.7080769230769,23.6459615384615,1.05962853641804,1129.20833333333,149.0,255.0,20.0,29.75,Grow_1
Basil,Keira,2.833,62.1591666666666,23.5849999999999,1.10131707869275,1072.66666666666,149.0,255.0,35.0,60.0,Grow_3
Chard,Jupiter,2.938,71.8579638009049,23.4155165912518,0.811325483115881,1087.5506307418,149.0,228.0,56.470588,59.176471,Grow_4
Basil,Keira,2.997,67.0090491452991,24.6115064102564,1.02568458408428,1201.12499999999,149.0,255.0,38.0,47.333333,Grow_2
Basil,Keira,3.117,61.266485042735,23.5949572649572,1.13209056179871,1120.76136363636,149.0,255.0,48.0,57.833333,Grow_1
Basil,Keira,3.152,62.8573504273504,22.9488888888888,1.04238337988034,1072.86363636363,149.0,255.0,42.833333,52.833333,Grow_1
Basil,Keira,3.275,66.4058333333333,23.9058333333333,0.997699065658198,1164.10897435897,149.0,255.0,36.5,60.0,Grow_2
Chard,Charbell,3.328,66.4016464237516,23.0032085020242,0.944188620105926,1094.53548644338,149.0,228.0,56.947368,60.0,Grow_3
Basil,Keira,3.373,62.836923076923,23.2676923076923,1.06109815719868,1028.08333333333,149.0,255.0,20.0,29.75,Grow_2
Basil,Keira,3.42,63.343564102564,23.1462948717948,1.04118923707526,1139.76666666666,149.0,255.0,39.2,51.6,Grow_1
Basil,Keira,3.449,57.62,22.18125,1.13293660060466,1080.33333333333,149.0,255.0,51.0,60.0,Grow_2
Baby Kale,Siberian,3.534,64.185,21.94625,0.94382612857546,997.666666666666,149.0,255.0,32.0,32.0,Grow_3
Basil,Keira,3.645,68.8875,22.4116666666666,0.843460965066089,1110.75,149.0,255.0,47.0,42.0,Grow_1
Basil,Keira,3.682,68.2745833333333,23.7587499999999,0.947745311329373,1080.08333333333,149.0,255.0,28.0,60.0,Grow_4
Chard,Jupiter,3.717,63.5789886039886,23.1291951566951,1.03179628361179,1086.70059570059,149.0,228.0,55.833333,58.722222,Grow_4
Baby Kale,Siberian,3.731,69.2841666666666,22.0975,0.816944206855968,1200.16666666666,149.0,255.0,20.0,29.75,Grow_2
Basil,Keira,3.754,53.6483333333333,21.4808333333333,1.18725799542626,1035.5,149.0,255.0,30.0,29.75,Grow_2
Basil,Keira,3.773,66.4353846153846,22.5784615384615,0.919200305540823,1030.33333333333,149.0,255.0,20.0,29.75,Grow_1
Basil,Keira,3.827,62.5483974358974,23.1196581196581,1.05884315452085,1136.47222222222,149.0,255.0,20.0,29.75,Grow_2
Basil,Keira,3.834,60.9429166666666,24.5670833333333,1.20604762578195,1139.17628205128,149.0,255.0,46.5,60.0,Grow_1
Basil,Keira,3.85,65.2161538461538,22.4223076923076,0.943601134978386,1028.84615384615,149.0,255.0,20.0,29.75,Grow_2
Basil,Keira,3.966,66.4873931623931,23.0469871794871,0.959376000542108,1055.60683760683,149.0,255.0,22.0,40.0,Grow_2
Basil,Keira,3.981,66.502329059829,23.7071794871794,0.985604060004968,1056.14529914529,149.0,255.0,20.0,29.75,Grow_1
Basil,Keira,3.986,62.6923076923076,22.7315384615384,1.03123719176092,1062.5,149.0,255.0,20.0,29.75,Grow_1
Basil,Keira,4.013,65.0323611111111,22.6761111111111,0.963072178463528,1105.16666666666,149.0,255.0,44.5,60.0,Grow_2
Basil,Keira,4.076,61.3075,24.5262499999999,1.19481293274035,1098.46969696969,149.0,255.0,36.0,60.0,Grow_1
Chard,Charbell,4.175,65.6254245754245,22.6000682650682,0.943590554260727,1019.83216783216,149.0,228.0,51.545455,56.818182,Grow_3
Basil,Keira,4.197,67.1318749999999,23.7452083333333,0.966311495347215,1040.35227272727,149.0,255.0,45.5,60.0,Grow_2
Basil,Keira,4.235,60.93875,24.3459294871794,1.19221924433136,1035.83333333333,149.0,255.0,39.5,60.0,Grow_2
Basil,Keira,4.255,53.4661538461538,23.5938461538461,1.35503949401758,1120.54545454545,149.0,255.0,20.0,46.0,Grow_2
Basil,Keira,4.309,64.22125,24.2308333333333,1.08305605691116,1073.125,149.0,255.0,46.5,60.0,Grow_1
Basil,Keira,4.32,68.6061538461538,22.9623076923076,0.879981773290693,1138.53846153846,149.0,255.0,20.0,29.75,Grow_2
Basil,Keira,4.387,66.0946153846153,22.1215384615384,0.903097320650728,1140.75,149.0,255.0,20.0,29.75,Grow_2
Basil,Keira,4.439,63.0830059523809,23.6938988095238,1.08314026730457,1130.14583333333,149.0,255.0,41.25,57.0,Grow_1
Basil,Keira,4.47,59.6180641025641,22.7546025641025,1.11836489863326,1128.22068764568,149.0,255.0,53.3,59.2,Grow_2
Basil,Keira,4.476,67.3461538461538,23.1023076923076,0.923081597374426,1144.58333333333,149.0,255.0,20.0,29.75,Grow_1
Basil,Keira,4.52,64.5354914529914,23.590641025641,1.03535803426662,1148.04487179487,149.0,255.0,20.0,40.0,Grow_1
Basil,Keira,4.543,52.7695909645909,22.4077884615384,1.31613905635838,1109.45454545454,149.0,255.0,32.0,60.0,Grow_4
Basil,Keira,4.558,67.4083333333333,21.9816666666666,0.860738806394832,1043.58333333333,149.0,255.0,20.0,29.75,Grow_1
Basil,Keira,4.571,61.7741666666666,24.5133333333333,1.1762475529135,1104.41666666666,149.0,255.0,43.0,60.0,Grow_2
Chard,Jupiter,4.615,63.2075142450142,23.3963212250712,1.05893727812317,1067.82112794612,149.0,228.0,55.277778,57.555556,Grow_1
Chard,Charbell,4.682,67.9311904761904,22.7339285714285,0.887162054888836,1176.16125541125,149.0,228.0,49.714286,57.857143,Grow_4
Basil,Keira,4.702,55.50125,22.9008333333333,1.24372662620922,1096.16666666666,149.0,255.0,46.0,60.0,Grow_4
Basil,Keira,4.713,66.0734375,23.2713541666666,0.969462004428362,1103.02651515151,149.0,255.0,33.5,51.5,Grow_5
Chard,Charbell,4.746,68.2625,23.1570192307692,0.901121171828169,1178.86538461538,149.0,228.0,31.0,46.0,Grow_4
Basil,Keira,4.761,58.9607371794871,21.8627884615384,1.08248772538993,1146.0303030303,149.0,255.0,33.5,38.0,Grow_2
Basil,Keira,4.779,65.904010989011,22.9380769230769,0.956415773695171,1077.5,149.0,255.0,39.5,60.0,Grow_1
Basil,Keira,4.878,68.2666666666666,24.0358333333333,0.948934968893953,1130.83333333333,149.0,255.0,52.0,60.0,Grow_2
Basil,Keira,4.901,62.2666666666666,23.2416666666666,1.07568909003348,1079.83333333333,149.0,255.0,51.0,60.0,Grow_1
Basil,Keira,4.925,65.8643669871795,23.9975881410256,1.02201456288074,1121.46875,149.0,255.0,48.5,55.75,Grow_2
Basil,Keira,4.926,66.06125,22.25125,0.915203978787343,1138.875,149.0,255.0,35.0,60.0,Grow_1
Baby Kale,Siberian,4.953,71.4715384615384,21.9615384615384,0.752506466717147,1207.25,149.0,255.0,52.0,51.0,Grow_5
Basil,Keira,4.978,65.4161965811965,22.943376068376,0.972344422685344,1047.72222222222,149.0,255.0,20.666667,36.0,Grow_2
Chard,Charbell,4.992,64.5049679487179,23.689407051282,1.04016795274954,1178.86538461538,149.0,228.0,32.75,46.0,Grow_4
Basil,Keira,5.039,58.2402724358974,23.0253846153846,1.17587486540312,1083.14583333333,149.0,255.0,35.5,50.5,Grow_1
Basil,Keira,5.056,69.7325,21.7708333333333,0.789141851839101,1140.75,149.0,255.0,20.0,29.75,Grow_2
Basil,Keira,5.059,63.4809401709401,22.9350396825396,1.03316783774487,1054.22222222222,149.0,255.0,20.0,40.333333,Grow_1
Basil,Keira,5.067,58.1883653846153,22.8814903846153,1.16774819544323,1133.20833333333,149.0,255.0,43.75,57.5,Grow_2
Basil,Keira,5.069,63.3486294261294,22.3314407814407,0.991434589690607,1061.77777777777,149.0,255.0,21.333333,35.0,Grow_1
Basil,Keira,5.093,56.1679967948717,22.3622596153846,1.18679933090112,1038.50014568764,149.0,255.0,34.0,48.25,Grow_2
Basil,Keira,5.11,64.4616666666666,23.87875,1.05469680450702,1117.25378787878,149.0,255.0,43.5,60.0,Grow_2
Basil,Keira,5.165,55.4420833333333,22.46,1.21281225863635,1148.05244755244,149.0,255.0,36.5,60.0,Grow_1
Basil,Keira,5.177,62.9120833333333,21.9979166666666,0.980679367802812,1148.05244755244,149.0,255.0,43.0,60.0,Grow_1
Basil,Keira,5.19,65.588952991453,23.2064102564102,0.981497659209102,1149.41239316239,149.0,255.0,21.666667,37.0,Grow_1
Basil,Keira,5.196,61.3553846153846,23.8507692307692,1.14283500843344,1129.33333333333,149.0,255.0,20.0,29.75,Grow_2
Basil,Keira,5.199,65.1166666666666,23.9658333333333,1.03875717810128,1061.0,149.0,255.0,46.0,60.0,Grow_1
Basil,Keira,5.205,63.0707692307692,20.8184188034188,0.883108854083921,1181.61538461538,149.0,255.0,20.0,29.75,Grow_2
Basil,Keira,5.232,64.9266666666666,23.8358333333333,1.03629113655726,1137.58333333333,149.0,255.0,44.0,60.0,Grow_2
Basil,Keira,5.245,61.6404807692307,24.6198717948718,1.19038721663478,1117.25378787878,149.0,255.0,39.5,60.0,Grow_2
Basil,Keira,5.245,52.7695909645909,22.39,1.31103109596735,1049.25,149.0,255.0,60.0,60.0,Grow_2
Basil,Keira,5.262,65.9928571428571,23.0464285714285,0.958095731447197,1152.91666666666,149.0,255.0,20.0,29.75,Grow_2
Basil,Keira,5.263,64.0275961538461,23.5158974358974,1.04913676083765,1053.22916666666,149.0,255.0,31.25,47.0,Grow_1
Basil,Keira,5.28,54.8216666666666,23.3441666666666,1.29695108109217,1096.16666666666,149.0,255.0,46.5,60.0,Grow_4
Basil,Keira,5.307,65.1866666666666,23.0075,0.97850265024963,1118.84615384615,149.0,255.0,20.0,29.75,Grow_2
Basil,Keira,5.309,68.0139743589743,20.8184188034188,0.784832255142627,1124.66666666666,149.0,255.0,43.5,42.5,Grow_2
Basil,Keira,5.329,70.2881196581196,22.8395512820512,0.828771892913955,1032.97222222222,149.0,255.0,20.0,29.75,Grow_1
Basil,Keira,5.331,63.0171428571428,22.9178571428571,1.03385932417732,1025.41666666666,149.0,255.0,20.0,29.75,Grow_3
Basil,Keira,5.361,63.0440384615384,23.8053846153846,1.09282164169539,1081.83333333333,149.0,255.0,35.333333,55.333333,Grow_1
Basil,Keira,5.372,68.5375763125762,22.4691544566544,0.8587787929515,1051.92307692307,149.0,255.0,20.0,37.333333,Grow_2
Basil,Keira,5.373,62.934017094017,22.6658974358974,1.02029831466124,1032.97222222222,149.0,255.0,20.0,29.75,Grow_1
Baby Kale,Siberian,5.41,56.4884615384615,21.2530769230769,1.09907091305467,1091.66666666666,149.0,255.0,20.0,29.75,Grow_3
Basil,Keira,5.425,68.4745833333333,23.08,0.890851081308686,1133.625,149.0,255.0,41.5,60.0,Grow_2
Basil,Keira,5.436,55.5130769230769,22.8153846153846,1.23594417431093,1165.91666666666,149.0,255.0,20.0,29.75,Grow_5
Basil,Keira,5.437,65.2530769230769,23.1063782051282,0.984532267310818,1179.95833333333,149.0,255.0,36.0,54.5,Grow_2
Basil,Keira,5.437,69.5381837606837,22.7107478632478,0.842840929895751,1024.16666666666,149.0,255.0,21.333333,40.0,Grow_3
Chard,Charbell,5.451,63.0102014652014,23.4715567765567,1.06963986396416,1174.0303030303,149.0,228.0,52.285714,58.0,Grow_4
Basil,Keira,5.523,64.28,22.9677777777777,1.00157696534577,1087.5,149.0,255.0,57.0,60.0,Grow_1
Basil,Keira,5.524,64.1135096153846,23.1996634615384,1.0214493950515,1052.70833333333,149.0,255.0,35.5,50.0,Grow_1
Basil,Keira,5.554,59.9720299145299,23.3563247863247,1.15214513464299,1140.02991452991,149.0,255.0,45.666667,45.333333,Grow_1
Baby Kale,Siberian,5.557,58.0592307692307,20.8430769230769,1.03305738742192,1091.66666666666,149.0,255.0,20.0,29.75,Grow_3
Basil,Keira,5.571,65.7176923076923,23.8292307692307,1.01251731253019,1044.5,149.0,255.0,20.0,29.75,Grow_2
Basil,Keira,5.575,62.1022435897435,21.9625641025641,1.00054247698017,1067.82051282051,149.0,246.0,26.333333,43.333333,Grow_1
Chard,Charbell,5.595,65.6903571428571,23.1067307692307,0.970639352625947,1174.0303030303,149.0,228.0,51.428571,58.0,Grow_4
Basil,Keira,5.602,61.6075,24.1633333333333,1.15687968718109,1061.0,149.0,255.0,59.0,60.0,Grow_1
Basil,Keira,5.602,62.7958333333333,24.2508333333333,1.12696559909467,1116.83333333333,149.0,255.0,47.0,60.0,Grow_2
Chard,Fire Fresh,5.695,67.2069391025641,23.9033814102564,0.973540511597906,1056.14138986014,149.0,228.0,50.375,57.375,Grow_1
Chard,Charbell,5.696,65.7619555444555,22.4188969363969,0.929763222813621,1019.83216783216,149.0,228.0,51.454545,56.818182,Grow_3
Basil,Keira,5.715,60.6776282051282,22.8126068376068,1.10122286413473,1122.48504273504,149.0,255.0,20.333333,40.0,Grow_1
Chard,Charbell,5.722,65.2364010989011,23.3550366300366,0.998686234208398,1083.85347985347,149.0,228.0,51.428571,58.428571,Grow_4
Basil,Keira,5.727,61.4688988095238,22.900744047619,1.07818002008557,1120.69871794871,149.0,255.0,27.0,43.0,Grow_5
Basil,Keira,5.741,62.4114316239316,22.4906837606837,1.02646258126496,1099.05555555555,149.0,255.0,20.0,33.333333,Grow_5
Basil,Keira,5.745,62.9446581196581,23.0239529914529,1.04727152411329,1032.31623931623,149.0,255.0,20.0,40.0,Grow_1
Red Oakleaf,3SX3806,5.76,75.9282451923076,22.0357142857142,0.577424685216927,1184.33333333333,149.0,255.0,20.0,29.75,Grow_5
Basil,Keira,5.772,62.1408333333333,24.8620833333333,1.18947689528018,1131.79166666666,149.0,255.0,60.0,60.0,Grow_2
Basil,Keira,5.782,64.5884615384615,23.0953846153846,1.00061919300444,1023.58333333333,149.0,255.0,20.0,29.75,Grow_2
Basil,Keira,5.785,61.7783333333333,22.9625,1.07138071526898,1128.41666666666,149.0,255.0,44.0,60.0,Grow_1
Basil,Keira,5.798,62.6021703296703,23.2391605616605,1.0685952946333,1123.42171717171,149.0,255.0,20.0,37.666667,Grow_1
Basil,Keira,5.804,66.0599679487179,23.7010256410256,1.00380297545401,1054.91666666666,149.0,255.0,28.0,60.0,Grow_1
Basil,Keira,5.816,64.8483173076923,24.4461538461538,1.07901500346724,1055.32007575757,149.0,255.0,44.5,58.25,Grow_1
Chard,Jupiter,5.819,68.5754843304843,23.037621082621,0.885275073740309,1193.59647759647,149.0,228.0,53.333333,58.555556,Grow_4
Basil,Keira,5.823,64.8383333333333,24.1629166666666,1.06039392881212,1229.20833333333,149.0,255.0,38.5,57.5,Grow_5
Chard,Charbell,5.83,65.0285164835164,23.2953205128205,1.00090344195058,1083.85347985347,149.0,228.0,50.857143,58.428571,Grow_4
Basil,Keira,5.842,64.7683333333333,23.6941666666666,1.03213953669903,1032.91666666666,149.0,255.0,54.0,60.0,Grow_2
Basil,Keira,5.849,63.8719413919414,22.1391208791208,0.964035920168232,1061.77777777777,149.0,255.0,20.0,29.75,Grow_1
Basil,Keira,5.883,61.6304166666666,24.1129166666666,1.15584905023722,1098.46969696969,149.0,255.0,34.0,60.0,Grow_1
Basil,Keira,5.908,60.4810164835164,21.7245054945054,1.02800119953695,1029.95512820512,149.0,255.0,20.0,29.75,Grow_1
Basil,Keira,5.926,61.440641025641,24.3660737179487,1.1787713851405,1052.70833333333,149.0,255.0,36.0,50.0,Grow_1
Basil,Keira,5.926,63.1894444444444,24.5211752136752,1.13583927268348,1049.48611111111,149.0,255.0,43.833333,54.166667,Grow_2
Basil,Keira,5.984,75.9138461538461,20.9376923076923,0.59673518283727,1200.84615384615,149.0,255.0,20.0,29.75,Grow_5
Chard,Charbell,6.007,71.8996592442645,22.1373582995951,0.749169761600463,1029.82634032634,149.0,228.0,56.789474,60.0,Grow_3
Basil,Keira,6.035,65.9370833333333,22.9308333333333,0.954845829285966,1041.625,149.0,255.0,33.5,60.0,Grow_1
Basil,Keira,6.058,52.948956043956,21.6681868131868,1.2202075087614,1053.2159090909,149.0,255.0,34.5,60.0,Grow_2
Basil,Keira,6.061,64.8756365049018,24.2304239833022,1.063471053243,1030.67207329707,149.0,255.0,52.0,60.0,Grow_2
Basil,Keira,6.061,65.7205387667887,23.8930204517704,1.02128802915492,1115.46969696969,149.0,255.0,42.833333,52.833333,Grow_2
Basil,Keira,6.095,62.754423076923,23.7101923076923,1.09605885794698,1138.92929292929,149.0,255.0,20.0,40.0,Grow_2
Red Oakleaf,3SX3806,6.097,73.1057142857142,23.1599999999999,0.762921224607204,1184.33333333333,149.0,255.0,20.0,29.75,Grow_5
Chard,Fire Fresh,6.122,66.2843269230769,22.0728846153846,0.895997367089641,1028.125,149.0,228.0,20.0,45.0,Grow_3
Basil,Keira,6.125,64.4258333333333,22.0783333333333,0.945056589575267,1043.58333333333,149.0,255.0,20.0,29.75,Grow_1
Basil,Keira,6.127,66.2393269230769,22.5355128205128,0.922169839473077,1025.625,149.0,255.0,20.0,29.75,Grow_1
Basil,Keira,6.127,62.808547008547,23.7534615384615,1.09642613923042,1108.12198912198,149.0,255.0,32.666667,52.333333,Grow_2
Basil,Keira,6.147,65.6608974358974,22.2825641025641,0.924242985279919,1221.86217948717,149.0,255.0,42.5,42.5,Grow_5
Basil,Keira,6.148,52.7695909645909,21.8333333333333,1.26944688799256,1227.25,149.0,255.0,34.0,60.0,Grow_5
Basil,Keira,6.156,63.10672008547,22.7953098290598,1.02666865249365,1072.86363636363,149.0,255.0,42.833333,52.833333,Grow_1
Basil,Keira,6.181,63.4658333333333,23.23625,1.0410567446446,1150.0,149.0,255.0,45.5,60.0,Grow_2
Basil,Keira,6.182,61.8933333333333,23.9075,1.13077368400953,1044.27272727272,149.0,255.0,45.0,60.0,Grow_1
Basil,Keira,6.224,59.7596073717948,22.7539182692307,1.11484058626071,1044.64204545454,149.0,255.0,37.0,51.25,Grow_2
Basil,Keira,6.224,57.9792307692307,21.9038461538461,1.1045055946087,1028.84615384615,149.0,255.0,20.0,29.75,Grow_2
Basil,Keira,6.227,65.6276236263736,23.6846459096459,1.00767244024708,1042.21969696969,149.0,255.0,47.5,58.5,Grow_2
Basil,Keira,6.235,68.0306196581196,23.2333173076923,0.912090031468392,1123.58333333333,149.0,255.0,41.833333,52.333333,Grow_1
Basil,Keira,6.237,65.7993803418803,23.1961111111111,0.975532982211558,1024.16666666666,149.0,255.0,21.666667,40.0,Grow_3
Basil,Keira,6.239,57.0830303030303,24.0061742424242,1.28270364650163,1120.69871794871,149.0,255.0,37.0,43.0,Grow_5
Basil,Keira,6.246,63.7583333333333,22.5629166666666,0.991511946733006,1027.21212121212,149.0,255.0,36.5,60.0,Grow_3
Basil,Keira,6.25,65.7079166666666,22.7137499999999,0.94767306480367,1102.45833333333,149.0,255.0,34.0,60.0,Grow_5
Basil,Keira,6.251,62.4533333333333,24.2191666666666,1.13518458296505,1027.66666666666,149.0,255.0,33.0,60.0,Grow_2
Basil,Keira,6.255,61.5645192307692,23.3765705128205,1.10575652812471,1129.14393939393,149.0,255.0,46.0,47.0,Grow_1
Basil,Keira,6.255,68.09047008547,23.4122435897435,0.921756652140229,1051.25,149.0,255.0,42.666667,42.666667,Grow_1
Basil,Keira,6.265,62.1591666666666,21.1777083333333,0.952637451897046,1089.73106060606,149.0,255.0,30.5,60.0,Grow_5
Basil,Keira,6.27,67.6775,23.0933333333333,0.913219410628515,1141.72727272727,149.0,255.0,20.0,29.75,Grow_1
Basil,Keira,6.271,61.6833333333333,22.0974572649572,1.02233138535757,1059.80555555555,149.0,255.0,20.0,40.0,Grow_2
Basil,Keira,6.279,56.0530681818181,21.6130681818181,1.13671843257413,1049.04166666666,149.0,255.0,34.0,60.0,Grow_2
Basil,Keira,6.291,61.7239583333333,23.0470192307692,1.08130671953455,1101.46401515151,149.0,255.0,31.75,45.5,Grow_1
Basil,Keira,6.296,66.6065170940171,22.7513675213675,0.931200308238348,1163.25,149.0,255.0,20.666667,36.333333,Grow_2
Basil,Keira,6.304,63.7745833333333,22.9183814102564,1.01732565428847,1020.74074883449,149.0,255.0,48.5,55.875,Grow_3
Basil,Keira,6.32,61.919861111111,24.6599999999999,1.18425298419081,1048.69803807303,149.0,255.0,48.833333,57.833333,Grow_1
Basil,Keira,6.32,65.6013461538461,21.6305128205128,0.891703714714956,1114.64743589743,149.0,255.0,32.5,60.0,Grow_2
Basil,Keira,6.326,59.7149999999999,22.7354166666666,1.11379594040496,1052.41666666666,149.0,255.0,35.0,51.0,Grow_2
Basil,Keira,6.351,66.1012393162393,23.9204914529914,1.00812265154046,1129.02777777777,149.0,246.0,27.666667,41.666667,Grow_1
Chard,Jupiter,6.36,68.2623279352226,22.6120614035087,0.870979008193229,1177.95837933995,149.0,228.0,57.0,60.0,Grow_4
Basil,Keira,6.375,67.4786324786324,23.1112606837606,0.922635208808843,1136.83333333333,149.0,255.0,20.0,29.75,Grow_1
Basil,Keira,6.414,62.0207692307692,21.8061538461538,0.992341568764897,1038.07692307692,149.0,255.0,20.0,29.75,Grow_1
Basil,Keira,6.414,70.3691666666666,23.2275,0.844182417317253,1103.69318181818,149.0,255.0,41.0,60.0,Grow_4
Basil,Keira,6.421,61.6158333333333,21.9129166666666,1.01019518034707,1041.41666666666,149.0,255.0,43.0,60.0,Grow_2
Basil,Keira,6.424,65.7748931623931,22.7696581196581,0.948618156119926,1126.97649572649,149.0,255.0,20.0,29.75,Grow_2
